frame,mean,variance
0,0.003516821017426769,0.0030038122248392616
1,0.003530884045491092,0.0029909940519466387
2,0.003661087352008857,0.0028317563130175307
3,0.003739729766214212,0.002632845921597428
4,0.0038242916928881514,0.0024663351158849666
5,0.0040417889474811146,0.0025409424785955907
6,0.00429161945954291,0.0027091010192424095
7,0.00449343135651986,0.0028508996354514944
8,0.004590258405874138,0.002896346286235442
9,0.00466038466363025,0.0029127310620693588
10,0.0047058750994906,0.002914740584492158
11,0.0047435155841145,0.002919004776111981
12,0.004802293450563124,0.002933628656119406
13,0.004858156398637144,0.002950266821299129
14,0.004896923915441793,0.002963108658305108
15,0.0049273553923245795,0.002975580356066011
16,0.004955388433782559,0.0029888437195769064
17,0.004979424314431089,0.0030001023686700864
18,0.004998822060276998,0.0030085808996471886
19,0.005014973022218505,0.003014907429632547
20,0.005032430226638275,0.003020883458751876
21,0.005054617725345144,0.003027359236624823
22,0.005081879055944515,0.003034873760195894
23,0.005112883640366062,0.0030434980240302747
24,0.0051440492871898036,0.003051942866129235
25,0.005174129109469487,0.0030601054963145503
26,0.0052022795963167275,0.003067201035929055
27,0.0052268516442690776,0.003072535689419055
28,0.0052483283452450106,0.003077161431835235
29,0.005266603870935718,0.0030803059698363954
30,0.005281964564074193,0.003082310639180677
31,0.00529340779372357,0.0030822983333341227
32,0.005302684965065714,0.0030814569844291135
33,0.005310091801069971,0.003079345007696126
34,0.005316406172201838,0.0030771362497249138
35,0.005320629676448844,0.003073958304587896
36,0.00532332099022832,0.0030706863729973916
37,0.005324045878894754,0.0030662875211198808
38,0.005323389201386882,0.0030615038183897402
39,0.005321406545691563,0.003055939248992915
40,0.0053194801935428715,0.003050644528271389
41,0.005316049476149057,0.0030439191331890505
42,0.005311237710036668,0.003037109442348783
43,0.005305331382865999,0.003029819771961067
44,0.005298895505861419,0.0030225252763898284
45,0.005291885353297029,0.0030149139505318496
46,0.005285403471852709,0.003007538109683971
47,0.005279497419554925,0.0030006031183790853
48,0.005273211257247087,0.002992893983922823
49,0.005267942607548403,0.0029861227408803396
50,0.005261762183127823,0.002978282516477723
51,0.005256189077922839,0.002971439924166454
52,0.005248875365370982,0.0029629436715720766
53,0.00524103001126584,0.002954291822515852
54,0.005233302136441664,0.0029460513555036776
55,0.005224310907460602,0.0029364764062887205
56,0.005216244873278136,0.0029281401454574877
57,0.005206959934144626,0.002918397531702287
58,0.005197801187485233,0.0029090283264495156
59,0.005188401064845184,0.0028998154418227633
60,0.005177860501081543,0.0028896078710066524
61,0.005167955375841056,0.0028803153310357193
62,0.005157420947255315,0.00287049855817552
63,0.005146904084256928,0.00286058691953946
64,0.005137244776743775,0.0028514333662342964
65,0.005126986757221286,0.0028414402406935955
66,0.005117170480861527,0.0028318491339336324
67,0.0051077276720626905,0.002822574128519144
68,0.005097251844180253,0.0028120211617232494
69,0.005087343832651229,0.0028021141377686555
70,0.005077677304833052,0.002792558705031947
71,0.005066774758734814,0.0027817043524122004
72,0.00505627941732417,0.002771635236891027
73,0.005045871824954814,0.002761810923788916
74,0.005034289930494378,0.0027507336236019084
75,0.0050237790757144294,0.002740783666306087
76,0.0050133403224583645,0.002730996147053181
77,0.005001674825551743,0.002719989882400426
78,0.004990677408418784,0.0027096763717645205
79,0.004979497446334333,0.0026993796090829937
80,0.004968027168935058,0.0026887349186967943
81,0.004956836515562775,0.002678171155472695
82,0.004945238465969424,0.0026673303481344313
83,0.004933257417011934,0.002656026663424355
84,0.004921471395138689,0.0026448524598268433
85,0.004909322832934868,0.002633438537356089
86,0.004897016546709294,0.0026216992216559734
87,0.004884938598234526,0.0026101732808731883
88,0.004872411921442065,0.0025984095302255534
89,0.004859746925037456,0.0025864329133620965
90,0.00484727111842848,0.002574747356911178
91,0.004834826275254359,0.0025632610476139196
92,0.00482249324720194,0.002551596101347085
93,0.004810079982790391,0.0025398097377851243
94,0.00479749189682458,0.002527984320246341
95,0.0047849081648676135,0.0025159932941275537
96,0.004772323149422124,0.0025041520387996193
97,0.004759609291863856,0.002492211816439049
98,0.004746856369407882,0.0024801301427703117
99,0.0047338928056652975,0.0024679720307062233
100,0.004720936937607983,0.002455868122518646
101,0.004708041015090135,0.0024436823887823726
102,0.004694877243109626,0.002431416925907963
103,0.004681619642612522,0.002419066114502343
104,0.004668340243649098,0.00240665411717591
105,0.004654754596602363,0.0023941005129678983
106,0.0046410908392070386,0.0023813863960195133
107,0.004627377538523554,0.0023685865903845054
108,0.004613456238857003,0.0023557817320674686
109,0.004599637139908402,0.002342984994364951
110,0.004585895498612954,0.002330289887366343
111,0.004572082548864616,0.002317641676849692
112,0.004558512651223033,0.002305155230871877
113,0.004545038750775936,0.002292732608946689
114,0.004531319917866013,0.0022802436928561634
115,0.0045174361970657,0.002267558970776955
116,0.0045032850899844185,0.00225474954649202
117,0.004489118784205469,0.002242017944662714
118,0.0044751012716573325,0.002229226450286325
119,0.0044610713969249925,0.0022164109675527786
120,0.004447048574810497,0.0022036546912896247
121,0.004433075756388634,0.002190804738552548
122,0.0044189545417428555,0.002177810831196399
123,0.004404723728684791,0.002164755933785208
124,0.004390525512726428,0.002151639908199437
125,0.0043762500098741995,0.002138527626322578
126,0.004361990237917344,0.002125454187037111
127,0.0043479167775989655,0.002112466258358359
128,0.004333726559497648,0.002099447894911182
129,0.0043193907696491025,0.002086343481418798
130,0.004305321752810524,0.0020733670150973244
131,0.004291203198203142,0.0020604855567618644
132,0.004277039130993186,0.0020476425931525728
133,0.004263181017820224,0.002035060408569147
134,0.004249320669270241,0.0020225139149618997
135,0.00423543460099435,0.002009962147929666
136,0.004221708172423732,0.001997461526802414
137,0.004207942348088075,0.0019850580372212582
138,0.004194194695219007,0.0019726731901892995
139,0.004180505429315607,0.001960267098131395
140,0.0041667851551960376,0.0019479029368251548
141,0.004153028998219461,0.0019355766064086306
142,0.004139299745829349,0.0019232469005729979
143,0.004125485923212238,0.001910956709656494
144,0.004111671226985845,0.0018987032113468266
145,0.004097987393206583,0.0018864946799386235
146,0.004084279921502286,0.0018743419617498539
147,0.004070560060558313,0.0018622331682431035
148,0.0040569126094206695,0.0018501545698538311
149,0.004043259235144549,0.0018381503433802817
150,0.004029652846616244,0.001826231261870448
151,0.0040161479854110465,0.0018143852102067664
152,0.00400261429103673,0.0018026021950589347
153,0.003989013342032061,0.0017908455457879523
154,0.003975476248599169,0.0017791170093071217
155,0.003961938058834236,0.0017674366401328604
156,0.003948327787567955,0.0017557821262194216
157,0.003934746880610563,0.0017441456330510388
158,0.003921208583380726,0.0017325532456170113
159,0.003907606415215931,0.0017210000126457563
160,0.0038940589083196757,0.0017095070678088604
161,0.003880581860678485,0.001698063450473614
162,0.003867085582468613,0.0016866645963858574
163,0.0038536025741957884,0.001675331506403855
164,0.003840237378735891,0.0016640803038140525
165,0.0038268976301972196,0.001652905346183914
166,0.0038135609915181867,0.0016418201788716467
167,0.0038002986370785827,0.0016308110428071426
168,0.0037871242596116475,0.0016198969336484747
169,0.0037739950235295893,0.0016090656744312498
170,0.0037609330223183526,0.0015983416118473155
171,0.003748003241755778,0.0015876971039956516
172,0.003735089376156664,0.0015771365066893596
173,0.0037221219464610884,0.0015666353877234896
174,0.0037092122950005747,0.0015561965443117395
175,0.003696282740730639,0.0015457476507654507
176,0.0036833207733598223,0.0015352793432745278
177,0.0036702804086287174,0.0015248456448417446
178,0.0036572607235092073,0.00151451077851618
179,0.0036442965381496733,0.001504235637035338
180,0.0036313271769227817,0.0014939842557148261
181,0.0036183552246009092,0.0014837608237025079
182,0.003605319513819491,0.0014735732079988767
183,0.0035923786563069244,0.001463434573672223
184,0.003579558665798291,0.0014533665365320417
185,0.0035668396498657997,0.0014433779720888975
186,0.0035541959612587688,0.001433499040426965
187,0.0035416443310089412,0.0014237182578980033
188,0.0035291905683052386,0.001414031650657634
189,0.0035168142545389633,0.001404426670170131
190,0.0035044727161561554,0.001394893029049503
191,0.0034921418282208307,0.0013854216440012544
192,0.003479852788728256,0.0013760075656221807
193,0.003467584600988765,0.0013666237227814722
194,0.00345532017189563,0.0013572727122514953
195,0.003443075410352533,0.001347952001705774
196,0.0034308658824944035,0.0013386807872486886
197,0.003418700466079153,0.0013294647435603854
198,0.003406589365254253,0.0013203104807789023
199,0.0033945440060815435,0.0013112398116415045
200,0.003382571560683357,0.0013022573978731058
201,0.0033706728461228826,0.0012933450824632602
202,0.0033588317464132798,0.001284509648288956
203,0.003347053141834818,0.0012757394089098087
204,0.0033352978087829222,0.0012670276951766656
205,0.0033235821785761593,0.0012583733817292974
206,0.003311916535117942,0.0012497829776775807
207,0.0033003007593285227,0.0012412497828321572
208,0.0032887263121695143,0.0012327594164034412
209,0.003277205451475621,0.0012243208132753929
210,0.0032657191031317248,0.0012159483817420283
211,0.0032542726736758047,0.0012076290680447515
212,0.003242863318994926,0.0011993716918581923
213,0.003231535114389011,0.0011911881011272662
214,0.0032202741694730896,0.0011830706517094985
215,0.0032090876954178576,0.0011750230777338485
216,0.0031979733191140783,0.0011670416750235242
217,0.0031869120262361557,0.0011591170377992673
218,0.003175851069666599,0.0011512253917697927
219,0.0031647910928910943,0.0011433573136820814
220,0.003153850155917049,0.0011355939933453633
221,0.003143043832813908,0.001127946475964534
222,0.0031323065527194736,0.001120380839346039
223,0.003121626284063259,0.0011128686721032708
224,0.00311091854616889,0.001105397499258159
225,0.003100230830098056,0.001097966494102086
226,0.0030895724465453693,0.0010905777171807778
227,0.0030789175614970394,0.0010832405873508985
228,0.003068319853623903,0.001075963231789984
229,0.003057768722235599,0.0010687505512669134
230,0.003047242167123217,0.0010615901030072785
231,0.0030367932289618016,0.0010544829499942526
232,0.003026392086302654,0.0010474320106246622
233,0.0030160382599061057,0.0010404430968822664
234,0.0030057409943554186,0.0010335102060573063
235,0.0029955043933044354,0.0010266367095922847
236,0.0029853202311097425,0.0010198232329080815
237,0.002975197529186492,0.001013068304887616
238,0.002965115366178132,0.0010063674256853272
239,0.0029550647701604804,0.0009997177988552198
240,0.002945023236330304,0.0009931027332913311
241,0.0029350259503267933,0.0009865461462324461
242,0.0029250480723513827,0.0009800208228577646
243,0.002915148420597446,0.0009735644017549351
244,0.0029053651593548974,0.0009671964995729803
245,0.0028956937483877697,0.0009609154533536639
246,0.00288609341824143,0.0009547097059869229
247,0.002876560410356038,0.0009485637848879609
248,0.0028670463589898342,0.0009424547643076979
249,0.0028575281257603308,0.0009363744040324467
250,0.0028480619617736445,0.000930333698934963
251,0.002838636498655618,0.000924334995730974
252,0.0028292435550907402,0.000918373342931834
253,0.002819877525494505,0.0009124425675837289
254,0.0028105168766280426,0.0009065405868295541
255,0.0028011713691279247,0.0009006738764860716
256,0.0027918459476981867,0.0008948354345267012
257,0.0027825470107320518,0.0008890308945584014
258,0.0027732885924095976,0.0008832533925058612
259,0.002764028807374655,0.0008774965448159555
260,0.002754771966561151,0.0008717663520835604
261,0.002745550781424375,0.0008660694692330608
262,0.002736361632398858,0.000860416971217048
263,0.002727212239257895,0.0008548135897889917
264,0.0027181272370677585,0.0008492621657749212
265,0.0027090893090050672,0.0008437603919223327
266,0.0027000967007663615,0.0008382930654982553
267,0.0026911339157836096,0.0008328625324046362
268,0.0026822090226614323,0.0008274710105741777
269,0.002673302707677578,0.0008221126038557779
270,0.0026644268067579735,0.000816788980226716
271,0.0026555966628594115,0.0008115092830221422
272,0.0026468005550658916,0.0008062676922071165
273,0.0026380330154236616,0.000801069455339232
274,0.00262933727029678,0.0007959218988585103
275,0.0026206962275502834,0.0007908212672529298
276,0.0026121161788064903,0.0007857672203446742
277,0.002603585481703949,0.0007807596916252324
278,0.0025951036237033286,0.0007757983385324199
279,0.002586670362512186,0.0007708765910318063
280,0.0025782892799280062,0.000765992895128881
281,0.002569933815215773,0.0007611452091084562
282,0.002561610149292287,0.0007563254663445017
283,0.0025533121474596516,0.0007515327425396918
284,0.0025450495396222594,0.0007467706003392157
285,0.002536805496700577,0.0007420334558162832
286,0.002528529333892711,0.000737298741542561
287,0.0025202950144248733,0.0007325984573542085
288,0.002512158115216065,0.0007279662611065636
289,0.0025041268435074104,0.00072341162447565
290,0.0024961793856313704,0.0007189149512236404
291,0.0024882962593319787,0.0007144734274621375
292,0.002480478976110362,0.0007100788417881184
293,0.002472700394301602,0.0007057229560503369
294,0.0024649563044444717,0.0007013999118954619
295,0.0024572558095064456,0.0006971098611690289
296,0.0024495944538249883,0.0006928519965495414
297,0.0024419645030421717,0.0006886289845218026
298,0.0024343829830620273,0.0006844403504644593
299,0.002426820342972188,0.0006802830182028001
300,0.0024192902005962156,0.0006761576619926843
301,0.0024117606752572926,0.0006720566520121809
302,0.0024042762096464303,0.0006679834944690574
303,0.0023968270878675963,0.0006639334718058568
304,0.002389394558658532,0.0006599123037347917
305,0.0023819717962973346,0.0006559101997385518
306,0.0023745865175259398,0.000651938206798701
307,0.002367309515597588,0.0006480323640731761
308,0.002360097364145829,0.0006441812805017171
309,0.0023529056595893256,0.0006403500936409947
310,0.002345731880000515,0.0006365421107771658
311,0.0023385792078515154,0.0006327518336888185
312,0.002331428145020473,0.0006289822374878242
313,0.0023243089278465905,0.000625230585284286
314,0.002317222025406736,0.0006215030347532863
315,0.002310152294732359,0.0006177965484969863
316,0.0023031022475033,0.0006141162102883585
317,0.0022960791328626314,0.0006104576001514015
318,0.002289088799080155,0.0006068234707495363
319,0.002282092209117505,0.0006032050293443256
320,0.0022751282946468594,0.0005996094247809957
321,0.0022681872890711195,0.0005960357724412157
322,0.002261278785994548,0.0005924908317848189
323,0.0022543873484915412,0.0005889710742936896
324,0.002247546241724099,0.0005854805346767149
325,0.0022407372721872,0.0005820153609648835
326,0.0022339453747256344,0.0005785813009903657
327,0.002227178281812033,0.0005751700432456623
328,0.0022204474863136417,0.0005717835437971946
329,0.002213756748854751,0.0005684215365299088
330,0.00220708330568149,0.0005650910225637695
331,0.0022004607344524954,0.0005617869311042191
332,0.0021938623457110826,0.0005585096156313609
333,0.0021872893396665456,0.0005552571414752665
334,0.0021807466080118617,0.0005520316649606039
335,0.002174244844632927,0.000548829213709952
336,0.002167760167735684,0.0005456506703150901
337,0.002161292689868634,0.0005424949871796279
338,0.0021548529890515825,0.0005393639879884371
339,0.002148466340070112,0.0005362597277308052
340,0.0021421128859209757,0.0005331765529451107
341,0.0021357896320499978,0.0005301195658109963
342,0.002129504740169595,0.000527083652564195
343,0.002123277635031524,0.0005240804101453543
344,0.0021170680249657727,0.0005210945324069999
345,0.0021109213396709203,0.0005181421183142542
346,0.002104798057321802,0.0005152075475628865
347,0.0020987125714243787,0.0005122945627759191
348,0.002092660371066574,0.0005094104590694288
349,0.002086656599369616,0.0005065541367295744
350,0.002080676478166459,0.0005037052895911823
351,0.00207477762256127,0.0005009116319449541
352,0.0020688388144523696,0.0004981005626512824
353,0.002062990451544067,0.0004953356683788711
354,0.002057142466511378,0.0004925881765335044
355,0.0020512990202448513,0.000489829346292413
356,0.002045543998384669,0.00048715580494257036
357,0.002039719888359741,0.0004844100611547989
358,0.002034054851412584,0.00048178076855639996
359,0.0020282558741734065,0.00047908174338767695
360,0.0020226239362304737,0.0004764681428853962
361,0.00201694045043412,0.0004738429134523959
362,0.002011290125050397,0.00047122582133702273
363,0.0020057116040663233,0.00046867493615613024
364,0.0020000752532680537,0.0004660658394038756
365,0.0019946042716363316,0.0004635695005066088
366,0.0019889852760965132,0.00046099222877266934
367,0.001983536861440049,0.0004585253180471433
368,0.0019780398684846943,0.000456011678679998
369,0.0019726320180949424,0.000453548841634436
370,0.001967190361592481,0.000451105836948949
371,0.0019617614462440593,0.00044864628448481377
372,0.0019564598056851967,0.00044627053175634514
373,0.0019510382296427948,0.00044382344807432556
374,0.0019457681657326553,0.0004414894036254233
375,0.0019403811277411912,0.0004390804307896349
376,0.0019351681981355788,0.0004367641799551012
377,0.0019298561235247967,0.00043441029837698684
378,0.0019246345799945903,0.0004320964880503512
379,0.0019194228729977735,0.000429807210473081
380,0.0019142056381146527,0.00042749304534807456
381,0.0019090989025526196,0.00042526562112290433
382,0.0019039071824391055,0.0004229691814593263
383,0.0018988882268969783,0.00042077515241682273
384,0.0018936819435064422,0.00041849793692320454
385,0.0018886384665201521,0.00041632019879200095
386,0.0018835307207688758,0.00041409088145564094
387,0.0018785273985644849,0.00041191804070607273
388,0.0018734733499641515,0.0004097414776323562
389,0.0018684683252200927,0.00040757521040214604
390,0.0018635063033304354,0.00040545540592854727
391,0.0018584994646741893,0.0004032905341428096
392,0.001853598866460963,0.0004012115545406072
393,0.0018485923401122565,0.00039906103005676126
394,0.0018437732589362198,0.00039701739602725336
395,0.0018387859798399788,0.0003948903504032973
396,0.001833988915031728,0.0003928762165645005
397,0.0018290674650003947,0.00039078406591960374
398,0.0018243140238427852,0.00038878630935130414
399,0.0018194394848515814,0.00038673454775064087
400,0.0018146987951699323,0.0003847446473518422
401,0.0018098906118443623,0.00038272973051562683
402,0.001805143202595168,0.0003807405588868664
403,0.0018003922599938399,0.0003787638793372885
404,0.001795650745902489,0.00037677642511802726
405,0.0017909581605839347,0.0003748357594421555
406,0.001786216957218875,0.00037285629572904886
407,0.0017815752812710666,0.0003709507465227554
408,0.0017768265692275098,0.0003689828801980977
409,0.0017722203432626133,0.0003670984222150797
410,0.0017673454794870317,0.00036507981782932377
411,0.0017625492295975252,0.00036313223307063046
412,0.0017577274371506828,0.00036114986060011066
413,0.001753130942244828,0.00035929975788477717
414,0.0017484121746643262,0.00035739188208185876
415,0.0017439051526670238,0.0003555881435075104
416,0.0017392658299749807,0.00035371915178599334
417,0.0017347970719569486,0.0003519395866715784
418,0.0017301952560523433,0.00035009796562376205
419,0.0017257391769273784,0.00034833552290046204
420,0.001721201637476268,0.00034653465725309446
421,0.0017168565584037261,0.00034481945990902764
422,0.0017124032089533372,0.0003430639219538837
423,0.0017080823727848233,0.00034136754822550555
424,0.0017036903826861127,0.00033963994287913895
425,0.0016993976072623134,0.00033796484749173576
426,0.0016950497709535739,0.00033626454647979167
427,0.0016908161698410556,0.00033460970262748054
428,0.0016865608117593769,0.0003329478067103906
429,0.0016824218685780172,0.00033133167974601065
430,0.0016782073173409414,0.0003296877870347576
431,0.0016740849667694648,0.00032808678515713907
432,0.0016699070637803712,0.0003264582812631055
433,0.0016658149824843337,0.00032487792207281816
434,0.0016616569686186764,0.0003232673852065074
435,0.001657629543442813,0.00032171002827127004
436,0.0016534850035547113,0.00032011453788232725
437,0.0016495036059174378,0.00031858417962349827
438,0.0016454087511109537,0.0003170053929924559
439,0.0016414511774091019,0.00031550027228076876
440,0.00163739359723813,0.00031394298473775135
441,0.0016334940142632179,0.00031247140612992606
442,0.0016294758550523475,0.0003109364227800797
443,0.0016256306449185228,0.00030949144864906306
444,0.001621637574474514,0.0003079747692092841
445,0.0016178479972085665,0.0003065570386137663
446,0.0016139124378082646,0.00030505897613806776
447,0.0016101369385216838,0.00030365959260700856
448,0.0016062362114307365,0.00030218206525096345
449,0.001602505531343196,0.00030079958007262365
450,0.0015986386415877691,0.0002993455056714852
451,0.0015949221851077936,0.00029797408961023064
452,0.0015911014566097113,0.00029655158305749165
453,0.0015873952205840572,0.00029518533075175834
454,0.001583655012251768,0.0002937943428318273
455,0.001579919979006777,0.00029242766680099235
456,0.001576228052909284,0.000291070807079941
457,0.0015725220879681848,0.0002897119555600601
458,0.0015688607238754952,0.0002883768765246672
459,0.0015651749455247502,0.0002870320932972388
460,0.001561543656508986,0.00028571031003655405
461,0.0015578962112965439,0.0002843892033176189
462,0.0015542691803536882,0.00028307842779948147
463,0.0015506515754739058,0.00028177458570336476
464,0.0015470519433760526,0.000280479563956661
465,0.0015434815141793232,0.00027919007673989733
466,0.0015399055598280529,0.0002779064451125093
467,0.0015363304822911762,0.0002766301435995542
468,0.0015327824493830665,0.00027536236017852803
469,0.001529247593564558,0.00027409990775931783
470,0.0015257151134405583,0.00027284488904460823
471,0.0015221866048582189,0.0002715969238307764
472,0.0015186865638367817,0.00027035699912067896
473,0.001515200473952476,0.00026912319160882843
474,0.001511706646108425,0.00026789649232891965
475,0.0015082050154008018,0.0002666731253835624
476,0.0015047466983631518,0.0002654608754902459
477,0.0015013225609200268,0.00026425885482697924
478,0.0014979133163319572,0.00026306589904797077
